property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,ss the leaf,sector 85,1.83,7609,3,4,3,9,Relatively New,1925.0,0,0,0,0,0,0,49
flat,the crew bos chs manesar,manesar,0.85,3696,3,3,2,2,Moderately Old,2556.0,0,0,0,0,0,0,44
flat,eldeco accolade,sohna road,1.1,7550,2,2,3+,17,Relatively New,1319.0,1,0,0,0,1,2,7
house,independent,sector 47,4.6,26620,2,6,3+,4,Moderately Old,1728.0,0,0,0,0,0,1,51
flat,millenium bajrang society,sector 43,2.5,9434,4,4,3+,2,Relatively New,2398.0,0,0,0,0,0,2,94
flat,puri emerald bay,sector 104,2.25,10465,3,4,3+,4,Relatively New,2303.0,0,1,0,0,0,2,159
house,Vipul Tatvam Villa,sector 48,19.5,22222,5,6,3,2,Moderately Old,8775.0,1,1,1,1,0,2,110
house,Vipul Tatvam Villa,sector 48,8.25,38194,4,4,3+,3,Relatively New,2160.0,0,1,1,0,0,2,160
house,independent,sector 24,3.25,30374,4,4,3,3,Old Property,1070.0,0,0,0,0,0,0,15
flat,tulip violet,sector 69,1.4,8872,3,3,2,11,Relatively New,1428.0,0,0,0,1,0,0,126
flat,laxmi apartment sector 99a gurgaon,sector 99a,0.3,4615,2,2,1,4,New Property,600.0,0,0,0,0,0,0,44
